model,accuracy,precision_macro,recall_macro,f1_macro,latency_s_per_clip,fps,stability,mean_confidence,params,size_mb
videomae,0.8757225433526011,0.8939421261225654,0.8920862888166019,0.8922175416325316,0.1827679689999968,87.54269190352649,1.0,0.6643006908411235,86234890,328.95999908447266
i3d,0.7716763005780347,0.8247677754098287,0.7812696718472336,0.7951520241454185,0.10492913240004782,152.48386824546648,0.95,0.4755395322693566,27244362,104.13203430175781
r2plus1d,0.7572254335260116,0.7895950119859856,0.7717954654980271,0.7716553499131317,0.10088052154999332,158.60346233510387,0.85,0.44264732942932605,31305255,119.51705551147461
tsm,0.5144508670520231,0.5536007143749206,0.5200438239812054,0.5205463528632277,0.10928537139998298,73.20284405421572,0.8625,0.26537386052353534,11181642,42.69135284423828
tsn,0.1,0.01,0.1,0.01818181818181818,0.08264015580025444,96.80523859776373,1.0,0.17819799482822418,11181642,42.69135284423828
